name,POI,geometry
ak pharma plus,Pharmacies,POINT (8270793.318720225 3691555.127937413)
pharmasave pharmacy,Pharmacies,POINT (8271360.246622938 3690949.9505402436)
haq pharmacy plus,Pharmacies,POINT (8271107.9521290045 3692071.036031074)
plus pharmacy,Pharmacies,POINT (8271374.117031491 3692475.400012793)
leading pharmacy,Pharmacies,POINT (8270522.255760145 3690396.851021194)
a-plus pharmacy,Pharmacies,POINT (8270659.54608814 3690936.0017227884)
gillon pharmacy,Pharmacies,POINT (8267469.32985709 3697449.665452227)
life care plus pharmacy,Pharmacies,POINT (8270096.592291249 3690052.6786230644)
city pharmacy,Pharmacies,POINT (8272944.256185232 3701876.5051418543)
al madina pharmacy,Pharmacies,POINT (8272974.7354618125 3701267.707842991)
ahmed pharmacy,Pharmacies,POINT (8279526.410696602 3703091.630871376)
ahmed medical store,Pharmacies,POINT (8275938.672563927 3701210.886048469)
city plus pharmacy,Pharmacies,POINT (8272912.608053998 3700823.797065307)
al-rehan pharma pharmacy,Pharmacies,POINT (8273627.579747518 3700333.113711996)
servaid pharmacy,Pharmacies,POINT (8273025.986955373 3700987.2058584937)
adwiyaat pharmacy,Pharmacies,POINT (8277689.839473596 3701352.281521247)
health link pharmacy,Pharmacies,POINT (8273223.968669748 3701242.594431618)
ahmad pharmacy,Pharmacies,POINT (8279772.549222695 3696231.602901552)
greens pharmacy,Pharmacies,POINT (8281065.8479347825 3674039.1155871595)
askari pharmacy shaheen block,Pharmacies,POINT (8258889.992361396 3683134.763812216)
qasim awan pharmacy,Pharmacies,POINT (8269461.848554745 3688799.7761529665)
zm pharmacy store,Pharmacies,POINT (8274328.558581043 3698398.8708717315)
wahid pharmacy,Pharmacies,POINT (8276246.83831029 3701056.6026948285)
bismillah pharmacy and general store,Pharmacies,POINT (8277585.611034367 3700517.788547783)
ahmed pharmacy  26 general store,Pharmacies,POINT (8282924.983618572 3684997.821187263)
aqua 2b pharmacy,Pharmacies,POINT (8278125.722071746 3683038.762613517)
dvago pharmacy  26 wellness experts,Pharmacies,POINT (8278314.096914069 3681059.0132368407)
bio chem pharmacy,Pharmacies,POINT (8279680.610455249 3675362.223353392)
aziz pharmacy,Pharmacies,POINT (8278411.4903365625 3681003.2500980855)
dawood pharmacy  26 cosmetics,Pharmacies,POINT (8277948.2565395245 3683322.5955550508)
al-siddique medical store,Pharmacies,POINT (8278280.612011237 3682084.855159939)
the life line pharmacy,Pharmacies,POINT (8278340.101147117 3681316.4500495903)
medicine shop,Pharmacies,POINT (8267404.898135818 3690531.4929393074)
medcare pharmacy,Pharmacies,POINT (8267427.674103634 3690523.898986068)
fazal din's pharma plus,Pharmacies,POINT (8268468.990016362 3690462.4168441747)
moon pharmacy,Pharmacies,POINT (8268569.110766381 3690566.3051427053)
moon pharmacy,Pharmacies,POINT (8268569.36680121 3690562.403770151)
naveed  26 son's pharmacy,Pharmacies,POINT (8264901.378447621 3692532.559622986)
red well pharmacy,Pharmacies,POINT (8264692.643270436 3693782.7384894527)
rise pharma 2b,Pharmacies,POINT (8264731.471508824 3693615.536802169)
servaid pharmacy,Pharmacies,POINT (8264703.897670955 3693667.1810101033)
mediworld the community pharmacy,Pharmacies,POINT (8264838.783497948 3692758.0816886867)
clinix 2b,Pharmacies,POINT (8264907.033477754 3692487.928123658)
healthics pharmacy,Pharmacies,POINT (8267142.596019662 3697671.466071396)
madina medical store,Pharmacies,POINT (8266230.510903797 3692679.8186265687)
apotek the pharmacy,Pharmacies,POINT (8265792.323992186 3693427.325072941)
hope pharmacy,Pharmacies,POINT (8278797.7912335135 3696855.331725497)
alpha pharmacy,Pharmacies,POINT (8277739.955508352 3697475.0060571893)
mehmood pharmacy,Pharmacies,POINT (8277651.00010326 3696917.3682395737)
akbar medical  26 general store,Pharmacies,POINT (8277686.143666502 3697466.1544643156)
